揽	laam5
链	lin6
穠	nung4
砰	ping1
耷	dap1
鰓	soi1
官	gun1
埙	hyun1
芸	wan4
虷	hon4
滯	jai6
狠	han2
邽	gwai1
寂	jik6
窑	yiu4
姝	jyu1/syu1
崦	yim1
肺	fai3
据	geui1/geui3
涒	wan1
脉	mak6
汍	yun4
笠	lap1
零	ling4
痄	ja3
矍	fok3
狭	haap6/gip6
困	kwan3/kwan3/kwan2
霸	ba3
踉	leung4/leung6
艰	gaan1
斂	lim6
鋘	ng4
恢	fui1
獝	wat6
藻	jou2
红	hung4
陧	nip6
谓	wai6
缱	hin2
翏	liu6
殈	gwik1
钾	gaap3
娩	min5
輮	yau4
挦	cham4
羑	yau5
褙	bui3
兄	hing1
賻	fu6
丕	pei1
耍	sa2
芻	cho1
適	sik1
忑	tik1
鬍	wu4
纪	gei2/gei3
咏	wing6
第	dai6
詶	chau4
舻	lou4
棱	ling4
裉	kang3
衽	yam5
諳	am1
欵	fun2
垚	yiu1
蹎	din1
新	san1
駝	to4
嘰	gei1
瀆	duk6
𥄫	gap6
甄	jan1/yan1
例	lai6
鑤	paau4
瓏	lung4
薏	yi3
厌	yim3
莎	sa1/so1
沥	lik6
紆	yu1
耑	dyun1/jyun1
螣	tang4
踵	dung2/jung2
駹	mong4
誼	yi4/yi6
鉻	gok3
祷	tou2
撦	che2
機	gei1
洽	hap6/ap1
琵	pei4
桌	cheuk3/jeuk3
暫	jaam6
媯	gwai1
鲷	diu1
序	zeoi6
蠐	chai4
妻	chai1
堑	chim3
茯	fuk6
孅	chim1
功	gung1
俄	ngo4
賤	jin6
嚼	jeuk6
螯	ngou4
锢	gu3
詆	dai2
稷	jik1
賊	chaak6
肏	chaau3
鴥	wat6
迿	seun3
秭	ji2
嫻	haan4
銦	yan1
膕	gwok6
韻	wan6
缳	waan4/waan6
黲	chaam2
碻	kok3
戋	jin1
皇	wong4
莿	chi3
嫵	mou5
芑	gei2
屄	bei1
彀	gau3
鼪	sang1
珈	ga1
读	duk6
跕	dim3
璀	cheui1
橿	geung1
檐	gim2/sim4/yim4
杕	dai6
剷	chaan2
瓢	piu4
弄	lung6
犒	hou3
鴷	lit6
柳	lau5
圃	bou2
伞	saan3
犺	kong3
菆	jau1
嘒	wai3
鬧	naau6
鋐	wang4
边	bin1
貸	taai3
詘	wat1
髻	gai3
齧	ngit6
貶	bin2
熟	suk6
啓	kai2
薶	maai4
钍	tou2
靿	aau3
旎	nei5
喽	lau1/lau4
鎢	wu1
镴	lap6
元	yun4
甲	gaap3
發	faat3
岚	laam4
鑀	oi3
近	gan6/kan5
书	syu1
匮	gwai6
璉	lin5
厨	chyu4/cheui4
鄶	kui2
考	haau2
秬	geui6
羝	dai1
搜	sau2/sau1
镭	leui4
帳	jeung3
倘	tong2/seung4
脑	nou5
焐	ng6
讅	sam2
淌	tong2
嬙	cheung4
認	ying6
欠	him3
貤	yi4
廋	sau1
胛	gaap3
梼	to4
趺	fu1
嫔	pan4
嫘	leui4
弰	saau1
萼	ngok6
廨	gaai3/haai6
璅	jou2
莞	gun2/gun1/wun5
欧	au1/ngau1
佼	gaau2
繭	gaan2
褘	fai1
諗	nam2
槠	jyu1
吒	ja1
搋	chai1/chi2
豨	hei1
晬	zeoi3
獞	tung4
幺	mo1
棬	hyun1
欲	yuk6/yuk6
巒	lyun4
鉭	daan3
腓	fei4
镝	dik1
癠	jai3
駡	ma6
聲	seng1/sing1
淳	seun4
索	sok3/saak3
棋	kei4
圖	tou4
阀	fat6
鬱	wat1
膃	wat1
贽	ji3
唪	fung2/ba6
脣	seun4
繇	yau4/yiu4
泝	sou3
瘦	sau3
挛	lyun4
貪	taam1
馒	maan4
佗	ta4
孱	chaan3/saan4
黮	taam5
鎚	cheui4
潝	yap1
含	ham4
廝	si1
茀	fat1
军	gwan1
倏	suk1
弹	daan2/daan6/taan4
鲞	seung2
嶽	ngok6
磽	haau1
奸	gaan1/gaan1
塽	song2
暗	am3/ngam3/am3
梯	tai1
遵	jeun1/jyun1
粉	fan2
齗	ngan4
紛	fan1
窊	wa1
厂	chong2
騙	pin3
篓	lau5
涂	tou4/tou4
齟	zeoi2
俜	ping1
衈	yi6
醰	taam4
冪	mik6
璟	ging2
戧	cheung3
釷	tou2
轍	chit3
糜	mei4
飄	piu1
觕	chou1
右	yau6
坷	ho2
獄	yuk6
盥	fun2/gun3
眊	mou6
攄	syu1
鞯	jin1
嫿	waak6
卡	ka1/kaat1
嗆	cheung1
摺	jip3
圹	kwong3
啸	siu3
羽	yu5
秕	bei2
館	gun2
沮	zeoi2/zeoi3
鎘	gaak3
敔	yu5
隨	cheui4
般	bun1
孚	fu1
熲	gang2/wing6
皖	wun5
沔	min5
卜	buk1/baak6
鏖	ou1
俴	jin1
赝	ngan3
疹	jan2
呢	ne1/ni1/nei1
